Year,Serie,Región,Value
2012,Proporción de personas de 15 y más años que fuman a diario,España,23.95
2014,Proporción de personas de 15 y más años que fuman a diario,España,22.98
2017,Proporción de personas de 15 y más años que fuman a diario,España,22.08
2020,Proporción de personas de 15 y más años que fuman a diario,España,19.78
