Year,Serie,Región,Value
2010,Incidencia de la hepatitis B,España,1.61
2011,Incidencia de la hepatitis B,España,1.44
2012,Incidencia de la hepatitis B,España,1.15
2013,Incidencia de la hepatitis B,España,1.4
2014,Incidencia de la hepatitis B,España,1.4
2015,Incidencia de la hepatitis B,España,1.19
2016,Incidencia de la hepatitis B,España,1.1
2017,Incidencia de la hepatitis B,España,0.98
2018,Incidencia de la hepatitis B,España,0.69
2019,Incidencia de la hepatitis B,España,0.64
2020,Incidencia de la hepatitis B,España,0.51
2021,Incidencia de la hepatitis B,España,0.51
2022,Incidencia de la hepatitis B,España,0.59
2023,Incidencia de la hepatitis B,España,0.68
2010,Incidencia de la hepatitis B en los hombres,España,2.42
2011,Incidencia de la hepatitis B en los hombres,España,2.03
2012,Incidencia de la hepatitis B en los hombres,España,1.67
2013,Incidencia de la hepatitis B en los hombres,España,2.06
2014,Incidencia de la hepatitis B en los hombres,España,2.07
2015,Incidencia de la hepatitis B en los hombres,España,1.74
2016,Incidencia de la hepatitis B en los hombres,España,1.71
2017,Incidencia de la hepatitis B en los hombres,España,1.54
2018,Incidencia de la hepatitis B en los hombres,España,1.04
2019,Incidencia de la hepatitis B en los hombres,España,0.95
2020,Incidencia de la hepatitis B en los hombres,España,0.74
2021,Incidencia de la hepatitis B en los hombres,España,0.74
2022,Incidencia de la hepatitis B en los hombres,España,0.91
2023,Incidencia de la hepatitis B en los hombres,España,1.03
2010,Incidencia de la hepatitis B en las mujeres,España,0.82
2011,Incidencia de la hepatitis B en las mujeres,España,0.86
2012,Incidencia de la hepatitis B en las mujeres,España,0.65
2013,Incidencia de la hepatitis B en las mujeres,España,0.77
2014,Incidencia de la hepatitis B en las mujeres,España,0.75
2015,Incidencia de la hepatitis B en las mujeres,España,0.65
2016,Incidencia de la hepatitis B en las mujeres,España,0.52
2017,Incidencia de la hepatitis B en las mujeres,España,0.45
2018,Incidencia de la hepatitis B en las mujeres,España,0.36
2019,Incidencia de la hepatitis B en las mujeres,España,0.35
2020,Incidencia de la hepatitis B en las mujeres,España,0.28
2021,Incidencia de la hepatitis B en las mujeres,España,0.3
2022,Incidencia de la hepatitis B en las mujeres,España,0.29
2023,Incidencia de la hepatitis B en las mujeres,España,0.34
