Year,Serie,Región,Value
2010,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,
2011,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,
2012,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,
2013,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,30.21
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,28.68
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,28.82
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,27.46
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,27.25
2019,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,26.16
2020,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,26.97
2021,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,27.82
2022,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,26.0
2023,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral nacional de pobreza",España,26.51
2010,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,
2011,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,
2012,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,
2013,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,
2014,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,29.61
2015,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.5
2016,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.91
2017,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.2
2018,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,26.55
2019,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,25.6
2020,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,26.11
2021,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,27.15
2022,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,25.31
2023,"Proporción de personas en riesgo de pobreza o exclusión social: indicador AROPE, considerando el umbral autonómico de pobreza",España,25.11
2010,Proporción de personas en situación de carencia material y social severa,España,
2011,Proporción de personas en situación de carencia material y social severa,España,
2012,Proporción de personas en situación de carencia material y social severa,España,
2013,Proporción de personas en situación de carencia material y social severa,España,
2014,Proporción de personas en situación de carencia material y social severa,España,10.73
2015,Proporción de personas en situación de carencia material y social severa,España,7.35
2016,Proporción de personas en situación de carencia material y social severa,España,8.49
2017,Proporción de personas en situación de carencia material y social severa,España,8.34
2018,Proporción de personas en situación de carencia material y social severa,España,8.7
2019,Proporción de personas en situación de carencia material y social severa,España,7.67
2020,Proporción de personas en situación de carencia material y social severa,España,8.51
2021,Proporción de personas en situación de carencia material y social severa,España,8.29
2022,Proporción de personas en situación de carencia material y social severa,España,7.73
2023,Proporción de personas en situación de carencia material y social severa,España,9.0
2010,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,
2011,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,
2012,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,
2013,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,16.93
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,15.41
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,14.91
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,12.78
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.8
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.91
2020,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.02
2021,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,11.62
2022,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,8.66
2023,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,8.37
