Year,Serie,Región,Value
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.72
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.65
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.83
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.38
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,22.23
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,22.13
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,22.35
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,21.61
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,21.54
2019,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.66
2020,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.97
2021,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,21.67
2022,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.45
2023,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",España,20.2
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,19.48
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,19.37
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,19.69
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,19.3
2014,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,20.45
2015,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,20.23
2016,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,20.18
2017,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,20.62
2018,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,20.23
2019,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,19.49
2020,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,19.71
2021,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,20.61
2022,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,19.39
2023,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral autonómico de pobreza",España,18.29
2010,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,17.63
2011,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,17.82
2012,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,18.98
2013,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,18.69
2014,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,19.88
2015,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,19.51
2016,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,19.81
2017,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,19.69
2018,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,19.14
2019,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,18.59
2020,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,18.65
2021,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,19.12
2022,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,17.75
2023,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral nacional de pobreza",España,17.37
2010,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,16.78
2011,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,16.9
2012,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,17.72
2013,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,18.11
2014,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,18.78
2015,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,18.43
2016,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,17.97
2017,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,18.18
2018,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,17.6
2019,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,17.16
2020,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,17.76
2021,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,18.23
2022,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,16.88
2023,"Proporción de personas en riesgo de pobreza relativa con alquiler imputado, considerando el umbral autonómico de pobreza",España,16.02
