Year,Serie,RefArea,Value
2010,Tasa de mortalidad por suicidio,España,6.78
2011,Tasa de mortalidad por suicidio,España,6.8
2012,Tasa de mortalidad por suicidio,España,7.57
2013,Tasa de mortalidad por suicidio,España,8.31
2014,Tasa de mortalidad por suicidio,España,8.42
2015,Tasa de mortalidad por suicidio,España,7.77
2016,Tasa de mortalidad por suicidio,España,7.69
2017,Tasa de mortalidad por suicidio,España,7.91
2018,Tasa de mortalidad por suicidio,España,7.58
2019,Tasa de mortalidad por suicidio,España,7.8
2020,Tasa de mortalidad por suicidio,España,8.32
2021,Tasa de mortalidad por suicidio,España,8.45
2022,Tasa de mortalidad por suicidio,España,8.85
2023,Tasa de mortalidad por suicidio,España,
