Year,Serie,RefArea,Value
2010,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2891.88
2011,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2786.59
2012,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2711.86
2013,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2645.38
2014,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2632.51
2015,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2639.62
2016,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2727.58
2017,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2864.16
2018,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,2999999999.44
2019,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,3057.56
2020,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,3070.48
2021,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,España,3255.24
2010,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,2217.93
2011,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,2170.86
2012,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,2025.32
2013,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,1819.66
2014,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,1766.94
2015,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,1882.81
2016,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,1933.28
2017,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,1862.56
2018,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,2036.9
2019,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,2127.92
2020,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,2238.18
2021,Número de personas investigadoras (en equivalente a tiempo completo) por cada millón de habitantes,Cantabria,2364.31
