Year,Serie,Región,Value
2010,Valor añadido del sector manufacturero per cápita,España,2671.08
2011,Valor añadido del sector manufacturero per cápita,España,2618.51
2012,Valor añadido del sector manufacturero per cápita,España,2464.68
2013,Valor añadido del sector manufacturero per cápita,España,2447.89
2014,Valor añadido del sector manufacturero per cápita,España,2506.52
2015,Valor añadido del sector manufacturero per cápita,España,2625.02
2016,Valor añadido del sector manufacturero per cápita,España,2682.87
2017,Valor añadido del sector manufacturero per cápita,España,2830.25
2018,Valor añadido del sector manufacturero per cápita,España,2785.61
2019,Valor añadido del sector manufacturero per cápita,España,2776.07
2020,Valor añadido del sector manufacturero per cápita,España,2344.98
2021,Valor añadido del sector manufacturero per cápita,España,2651.66
2022,Valor añadido del sector manufacturero per cápita,España,2744.33
2023,Valor añadido del sector manufacturero per cápita,España,2798.6
2010,Valor añadido del sector manufacturero en proporción al PIB,España,11.53
2011,Valor añadido del sector manufacturero en proporción al PIB,España,11.44
2012,Valor añadido del sector manufacturero en proporción al PIB,España,11.09
2013,Valor añadido del sector manufacturero en proporción al PIB,España,11.14
2014,Valor añadido del sector manufacturero en proporción al PIB,España,11.21
2015,Valor añadido del sector manufacturero en proporción al PIB,España,11.29
2016,Valor añadido del sector manufacturero en proporción al PIB,España,11.21
2017,Valor añadido del sector manufacturero en proporción al PIB,España,11.51
2018,Valor añadido del sector manufacturero en proporción al PIB,España,11.12
2019,Valor añadido del sector manufacturero en proporción al PIB,España,10.95
2020,Valor añadido del sector manufacturero en proporción al PIB,España,10.47
2021,Valor añadido del sector manufacturero en proporción al PIB,España,11.13
2022,Valor añadido del sector manufacturero en proporción al PIB,España,10.99
2023,Valor añadido del sector manufacturero en proporción al PIB,España,11.07
