Year,Serie,RefArea,Value
2010,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,21.82
2011,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,16.05
2012,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,12.05
2013,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,16.74
2014,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,17.05
2015,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,15.18
2016,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,15.89
2017,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,11.54
2018,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,15.94
2019,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,14.7
2020,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,19.71
2023,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,España,22.97
2010,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,18.42
2011,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.59
2012,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.02
2013,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,18.34
2014,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.86
2015,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.69
2016,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,16.24
2017,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,15.18
2018,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,16.99
2019,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,14.1
2020,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,21.9
2023,Proporción de personas que en su vivienda sufren problemas de ruidos procedentes del vecindario o del exterior,España,23.61
