Year,Serie,Región,Value
2010,Tasa de mortalidad de menores de 5 años,España,3.87
2011,Tasa de mortalidad de menores de 5 años,España,3.81
2012,Tasa de mortalidad de menores de 5 años,España,3.72
2013,Tasa de mortalidad de menores de 5 años,España,3.37
2014,Tasa de mortalidad de menores de 5 años,España,3.41
2015,Tasa de mortalidad de menores de 5 años,España,3.16
2016,Tasa de mortalidad de menores de 5 años,España,3.27
2017,Tasa de mortalidad de menores de 5 años,España,3.26
2018,Tasa de mortalidad de menores de 5 años,España,3.29
2019,Tasa de mortalidad de menores de 5 años,España,3.27
2020,Tasa de mortalidad de menores de 5 años,España,3.13
2021,Tasa de mortalidad de menores de 5 años,España,3.06
2022,Tasa de mortalidad de menores de 5 años,España,3.34
2023,Tasa de mortalidad de menores de 5 años,España,3.31
2023,Tasa de mortalidad de menores de 5 años,España,3.31
