Year,Serie,Región,Value
2011,Proporción de personas entre 18 y 64 años que han realizado actividades educativas en los últimos 12 meses,España,41.29
2016,Proporción de personas entre 18 y 64 años que han realizado actividades educativas en los últimos 12 meses,España,47.72
2022,Proporción de personas entre 18 y 64 años que han realizado actividades educativas en los últimos 12 meses,España,53.47
2010,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,11.16
2011,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,11.18
2012,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,11.17
2013,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,11.37
2014,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,10.11
2015,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,9.91
2016,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,9.39
2017,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,9.86
2018,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,10.48
2019,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,10.65
2020,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,11.0
2021,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,14.32
2022,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,15.21
2023,Proporción de personas entre 25 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,15.81
2010,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,64.55
2011,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,66.14
2012,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,68.52
2013,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,69.98
2014,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,71.52
2015,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,72.02
2016,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,72.98
2017,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,73.05
2018,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,73.59
2019,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,73.37
2020,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,74.1
2021,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,76.94
2022,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,76.08
2023,Proporción de personas entre 15 y 24 años que han realizado estudios o formación en las últimas cuatro semanas,España,76.79
2010,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,19.36
2011,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,19.43
2012,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,19.65
2013,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,19.95
2014,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,19.06
2015,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,18.98
2016,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,18.69
2017,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,19.17
2018,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,19.88
2019,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,20.12
2020,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,20.7
2021,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,23.96
2022,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,24.77
2023,Proporción de personas entre 15 y 64 años que han realizado estudios o formación en las últimas cuatro semanas,España,25.61
