Year,Serie,Región,Value
2010,Valor añadido del sector manufacturero per cápita,España,2671.08
2011,Valor añadido del sector manufacturero per cápita,España,2618.51
2012,Valor añadido del sector manufacturero per cápita,España,2464.68
2013,Valor añadido del sector manufacturero per cápita,España,2447.89
2014,Valor añadido del sector manufacturero per cápita,España,2506.52
2015,Valor añadido del sector manufacturero per cápita,España,2625.02
2016,Valor añadido del sector manufacturero per cápita,España,2682.87
2017,Valor añadido del sector manufacturero per cápita,España,2830.25
2018,Valor añadido del sector manufacturero per cápita,España,2785.61
2019,Valor añadido del sector manufacturero per cápita,España,2776.07
2020,Valor añadido del sector manufacturero per cápita,España,2344.98
2021,Valor añadido del sector manufacturero per cápita,España,2651.66
2022,Valor añadido del sector manufacturero per cápita,España,2744.33
2023,Valor añadido del sector manufacturero per cápita,España,2798.6
2010,Valor añadido del sector manufacturero per cápita,Cantabria,3790.32
2011,Valor añadido del sector manufacturero per cápita,Cantabria,3753.6
2012,Valor añadido del sector manufacturero per cápita,Cantabria,3735.68
2013,Valor añadido del sector manufacturero per cápita,Cantabria,3412.88
2014,Valor añadido del sector manufacturero per cápita,Cantabria,3679.01
2015,Valor añadido del sector manufacturero per cápita,Cantabria,3668.08
2016,Valor añadido del sector manufacturero per cápita,Cantabria,3597.93
2017,Valor añadido del sector manufacturero per cápita,Cantabria,3974.1
2018,Valor añadido del sector manufacturero per cápita,Cantabria,3898.61
2019,Valor añadido del sector manufacturero per cápita,Cantabria,3900.78
2020,Valor añadido del sector manufacturero per cápita,Cantabria,3454.85
2021,Valor añadido del sector manufacturero per cápita,Cantabria,3973.51
2022,Valor añadido del sector manufacturero per cápita,Cantabria,4344.04
2023,Valor añadido del sector manufacturero per cápita,Cantabria,4305.65
2010,Valor añadido del sector manufacturero en proporción al PIB,España,11.53
2011,Valor añadido del sector manufacturero en proporción al PIB,España,11.44
2012,Valor añadido del sector manufacturero en proporción al PIB,España,11.09
2013,Valor añadido del sector manufacturero en proporción al PIB,España,11.14
2014,Valor añadido del sector manufacturero en proporción al PIB,España,11.21
2015,Valor añadido del sector manufacturero en proporción al PIB,España,11.29
2016,Valor añadido del sector manufacturero en proporción al PIB,España,11.21
2017,Valor añadido del sector manufacturero en proporción al PIB,España,11.51
2018,Valor añadido del sector manufacturero en proporción al PIB,España,11.12
2019,Valor añadido del sector manufacturero en proporción al PIB,España,10.95
2020,Valor añadido del sector manufacturero en proporción al PIB,España,10.47
2021,Valor añadido del sector manufacturero en proporción al PIB,España,11.13
2022,Valor añadido del sector manufacturero en proporción al PIB,España,10.99
2023,Valor añadido del sector manufacturero en proporción al PIB,España,11.07
2010,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.3
2011,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.54
2012,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.86
2013,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,15.82
2014,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.73
2015,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.21
2016,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,15.47
2017,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.57
2018,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,15.91
2019,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,15.74
2020,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,15.51
2021,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.69
2022,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,17.48
2023,Valor añadido del sector manufacturero en proporción al PIB,Cantabria,16.98
