Year,Serie,Región,Value
2010,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,21.35
2011,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,19.67
2012,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,22.88
2013,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,21.65
2014,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,22.55
2015,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,21.57
2016,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.85
2017,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.83
2018,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.95
2019,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,20.74
2020,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,26.56
2021,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,España,25.96
2010,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,22.01
2011,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,21.52
2012,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,24.66
2013,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,22.5
2014,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,23.67
2015,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,23.76
2016,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,23.46
2017,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,23.77
2018,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,23.98
2019,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,23.04
2020,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,27.85
2021,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,Cantabria,26.76
