Year,Serie,Región,Value
2014,Avances hacia la gestión forestal sostenible,España,4400309.38
2015,Avances hacia la gestión forestal sostenible,España,4611684.49
2016,Avances hacia la gestión forestal sostenible,España,4804161.96
2017,Avances hacia la gestión forestal sostenible,España,5124970.35
2018,Avances hacia la gestión forestal sostenible,España,5167697.4
2019,Avances hacia la gestión forestal sostenible,España,5527015.72
2014,Avances hacia la gestión forestal sostenible,Cantabria,10681.0
2015,Avances hacia la gestión forestal sostenible,Cantabria,12476.36
2016,Avances hacia la gestión forestal sostenible,Cantabria,13807.24
2017,Avances hacia la gestión forestal sostenible,Cantabria,40465.32
2018,Avances hacia la gestión forestal sostenible,Cantabria,50617.32
2019,Avances hacia la gestión forestal sostenible,Cantabria,54741.35
2014,Avances hacia la gestión forestal sostenible,España,15.86
2015,Avances hacia la gestión forestal sostenible,España,16.58
2016,Avances hacia la gestión forestal sostenible,España,17.28
2017,Avances hacia la gestión forestal sostenible,España,18.33
2018,Avances hacia la gestión forestal sostenible,España,18.48
2019,Avances hacia la gestión forestal sostenible,España,19.76
2014,Avances hacia la gestión forestal sostenible,Cantabria,2.93
2015,Avances hacia la gestión forestal sostenible,Cantabria,3.42
2016,Avances hacia la gestión forestal sostenible,Cantabria,3.79
2017,Avances hacia la gestión forestal sostenible,Cantabria,11.11
2018,Avances hacia la gestión forestal sostenible,Cantabria,13.89
2019,Avances hacia la gestión forestal sostenible,Cantabria,15.03
