Year,Serie,Región,Value
2010,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,95.91
2011,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,98.81
2012,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.8
2013,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.62
2014,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.09
2015,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,102.64
2016,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,99.93
2017,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,99.64
2018,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,101.96
2019,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,103.4
2020,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,111.92
2021,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,106.78
2022,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,España,101.71
2010,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,95.61
2011,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,92.16
2012,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,98.2
2013,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,92.72
2014,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,91.73
2015,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,92.73
2016,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,96.66
2017,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,96.62
2018,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,97.46
2019,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,98.87
2020,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,106.85
2021,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,101.28
2022,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas autonómicas,Cantabria,98.26
2010,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,102.65
2011,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,100.81
2012,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,98.55
2013,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,100.36
2014,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,104.99
2015,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,106.46
2016,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,102.77
2017,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,99.75
2018,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,99.82
2019,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,102.77
2020,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,93.68
2021,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,100.22
2022,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,España,101.58
2010,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,103.66
2011,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,100.48
2012,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,92.96
2013,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,97.83
2014,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,103.57
2015,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,100.78
2016,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,95.85
2017,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,99.12
2018,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,100.03
2019,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,105.38
2020,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,98.24
2021,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,94.98
2022,Gasto liquidado en proporción al gasto inicial de los presupuestos de las administraciones públicas locales,Cantabria,108.67
