Year,Serie,Value
2010,Gastos en investigación y desarrollo en proporción al PIB,1.23
2011,Gastos en investigación y desarrollo en proporción al PIB,1.12
2012,Gastos en investigación y desarrollo en proporción al PIB,1.04
2013,Gastos en investigación y desarrollo en proporción al PIB,0.93
2014,Gastos en investigación y desarrollo en proporción al PIB,0.84
2015,Gastos en investigación y desarrollo en proporción al PIB,0.84
2016,Gastos en investigación y desarrollo en proporción al PIB,0.83
2017,Gastos en investigación y desarrollo en proporción al PIB,0.82
2018,Gastos en investigación y desarrollo en proporción al PIB,0.85
