Year,Serie,Value
2010,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
2011,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
2012,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
2013,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
2014,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
2015,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
2016,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.34
2017,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
2018,Número de personas muertas directamente atribuido a desastres por cada 100.000 habitantes,0.0
