Year,Serie,Región,Value
2022,Proporción de la población residente en municipios que disponen de plan general o normas subsidiarias de planeamiento urbanístico,España,98.53
2023,Proporción de la población residente en municipios que disponen de plan general o normas subsidiarias de planeamiento urbanístico,España,98.57
