Year,Serie,Región,Value
2012,Proporción de personas de 15 y más años que fuman a diario,España,23.95
2014,Proporción de personas de 15 y más años que fuman a diario,España,22.98
2017,Proporción de personas de 15 y más años que fuman a diario,España,22.08
2020,Proporción de personas de 15 y más años que fuman a diario,España,19.78
2012,Proporción de personas de 15 y más años que fuman a diario,Cantabria,23.92
2014,Proporción de personas de 15 y más años que fuman a diario,Cantabria,21.4
2017,Proporción de personas de 15 y más años que fuman a diario,Cantabria,22.88
2020,Proporción de personas de 15 y más años que fuman a diario,Cantabria,18.88
