Year,Serie,Value
2010,Tasa de mortalidad de menores de 5 años,4.48
2011,Tasa de mortalidad de menores de 5 años,2.81
2012,Tasa de mortalidad de menores de 5 años,3.55
2013,Tasa de mortalidad de menores de 5 años,4.14
2014,Tasa de mortalidad de menores de 5 años,2.63
2015,Tasa de mortalidad de menores de 5 años,3.89
2016,Tasa de mortalidad de menores de 5 años,1.89
2017,Tasa de mortalidad de menores de 5 años,2.67
2018,Tasa de mortalidad de menores de 5 años,2.89
