Year,Serie,Región,Value
2011,Proporción de energías renovables en la producción de energía eléctrica,España,31.02
2012,Proporción de energías renovables en la producción de energía eléctrica,España,30.14
2013,Proporción de energías renovables en la producción de energía eléctrica,España,40.16
2014,Proporción de energías renovables en la producción de energía eléctrica,España,40.48
2015,Proporción de energías renovables en la producción de energía eléctrica,España,35.18
2016,Proporción de energías renovables en la producción de energía eléctrica,España,38.61
2017,Proporción de energías renovables en la producción de energía eléctrica,España,32.26
2018,Proporción de energías renovables en la producción de energía eléctrica,España,38.45
2019,Proporción de energías renovables en la producción de energía eléctrica,España,37.54
2020,Proporción de energías renovables en la producción de energía eléctrica,España,44.0
2020,Proporción de energías renovables en la producción de energía eléctrica,España,44.0
2021,Proporción de energías renovables en la producción de energía eléctrica,España,46.7
2021,Proporción de energías renovables en la producción de energía eléctrica,España,46.7
2011,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,17.0
2012,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,14.42
2013,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,22.2
2014,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,22.67
2015,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,27.95
2016,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,25.45
2017,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,18.46
2018,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,22.85
2019,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,18.1
2020,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,23.23
2020,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,23.67
2021,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,24.31
2021,Proporción de energías renovables en la producción de energía eléctrica,Cantabria,25.52
