Year,Serie,Región,Value
2012,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,81.66
2015,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,83.76
2018,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,76.8
2022,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,75.57
2012,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,81.45
2015,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,85.07
2018,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,79.95
2022,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,83.28
2012,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,76.59
2015,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,80.36
2018,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,72.08
2022,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,71.04
2012,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,74.74
2015,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,81.87
2018,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,76.55
2022,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,85.16
2012,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,86.88
2015,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,87.16
2018,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,81.64
2022,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,España,80.2
2012,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,88.47
2015,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,88.32
2018,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,83.19
2022,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en lectura,Cantabria,81.55
2012,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,76.39
2015,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,77.8
2018,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,75.3
2022,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,72.69
2012,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,78.06
2015,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,80.57
2018,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,82.28
2022,Proporción de personas de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,81.36
2012,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,77.86
2015,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,79.59
2018,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,75.43
2022,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,73.46
2012,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,79.04
2015,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,81.57
2018,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,83.9
2022,Proporción de hombres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,79.44
2012,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,74.89
2015,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,76.02
2018,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,75.17
2022,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,España,71.92
2012,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,77.02
2015,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,79.56
2018,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,80.74
2022,Proporción de mujeres de 15 años que han alcanzado al menos el nivel 2 de competencia en matemáticas,Cantabria,83.13
