Year,Serie,RefArea,Value
2010,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,110.47
2011,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,103.48
2012,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,98.83
2013,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,90.41
2014,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,82.85
2015,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,79.89
2016,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,75.59
2017,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,70.51
2018,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,67.03
2019,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,62.43
2020,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,57.0
2021,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,50.44
2022,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,43.86
2023,Número de sucursales de bancos comerciales por cada 100.000 habitantes de 15 y más años,España,42.04
