Year,Serie,RefArea,Value
2014,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,
2015,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,-2.59
2016,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,-0.86
2017,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,0.56
2018,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,2.27
2019,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,3.73
2020,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,4.69
2021,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,3.4
2022,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,4.55
2023,Tasa de crecimiento per cápita de los ingresos de los hogares del 40% más pobre de la población,España,5.12
2011,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,
2012,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,
2013,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,
2014,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,
2015,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,-0.53
2016,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,0.06
2017,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,1.26
2018,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,2.32
2019,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,2.42
2020,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,-0.24
2021,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,0.81
2022,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,1.74
2023,Tasa de crecimiento per cápita de los gastos de los hogares de la población total,España,1.77
2011,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,
2012,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,
2013,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,
2014,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,
2015,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,-1.15
2016,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,0.0
2017,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,1.1
2018,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,2.35
2019,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,2.49
2020,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,-0.18
2021,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,0.5
2022,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,1.72
2023,Tasa de crecimiento per cápita de los gastos de los hogares del 40% más pobre de la población,España,1.14
2014,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,
2015,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,-1.58
2016,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,-0.28
2017,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,0.51
2018,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,1.62
2019,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,2.37
2020,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,3.36
2021,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,2.76
2022,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,3.27
2023,Tasa de crecimiento per cápita de los ingresos de los hogares de la población total,España,4.29
