Year,Serie,RefArea,Value
2010,Tasa de crecimiento anual del PIB real per cápita,España,
2011,Tasa de crecimiento anual del PIB real per cápita,España,-1.18
2012,Tasa de crecimiento anual del PIB real per cápita,España,-2.99
2013,Tasa de crecimiento anual del PIB real per cápita,España,-1.05
2014,Tasa de crecimiento anual del PIB real per cápita,España,1.72
2015,Tasa de crecimiento anual del PIB real per cápita,España,3.95
2016,Tasa de crecimiento anual del PIB real per cápita,España,2.94
2017,Tasa de crecimiento anual del PIB real per cápita,España,2.79
2018,Tasa de crecimiento anual del PIB real per cápita,España,1.84
2019,Tasa de crecimiento anual del PIB real per cápita,España,1.18
2020,Tasa de crecimiento anual del PIB real per cápita,España,-11.65
2021,Tasa de crecimiento anual del PIB real per cápita,España,6.4
2022,Tasa de crecimiento anual del PIB real per cápita,España,4.81
2023,Tasa de crecimiento anual del PIB real per cápita,España,1.23
2010,Tasa de crecimiento anual del PIB real per cápita,Cantabria,-0.8
2011,Tasa de crecimiento anual del PIB real per cápita,Cantabria,-2.45
2012,Tasa de crecimiento anual del PIB real per cápita,Cantabria,-2.34
2013,Tasa de crecimiento anual del PIB real per cápita,Cantabria,-2.66
2014,Tasa de crecimiento anual del PIB real per cápita,Cantabria,1.93
2015,Tasa de crecimiento anual del PIB real per cápita,Cantabria,2.94
2016,Tasa de crecimiento anual del PIB real per cápita,Cantabria,2.77
2017,Tasa de crecimiento anual del PIB real per cápita,Cantabria,3.11
2018,Tasa de crecimiento anual del PIB real per cápita,Cantabria,2.18
2019,Tasa de crecimiento anual del PIB real per cápita,Cantabria,1.16
2020,Tasa de crecimiento anual del PIB real per cápita,Cantabria,-10.12
2021,Tasa de crecimiento anual del PIB real per cápita,Cantabria,6.86
2022,Tasa de crecimiento anual del PIB real per cápita,Cantabria,4.36
2023,Tasa de crecimiento anual del PIB real per cápita,Cantabria,2.09
