Year,Serie,RefArea,Value
2012,Prevalencia del consumo actual de tabaco a partir de los 15 años de edad (edades ajustadas),España,0.0
2014,Prevalencia del consumo actual de tabaco a partir de los 15 años de edad (edades ajustadas),España,22.98
2017,Prevalencia del consumo actual de tabaco a partir de los 15 años de edad (edades ajustadas),España,22.08
2012,Prevalencia del consumo actual de tabaco a partir de los 15 años de edad (edades ajustadas),Cantabria,23.92
2014,Prevalencia del consumo actual de tabaco a partir de los 15 años de edad (edades ajustadas),Cantabria,21.4
2017,Prevalencia del consumo actual de tabaco a partir de los 15 años de edad (edades ajustadas),Cantabria,22.88
