Year,Serie,Value
2010,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,5.6
2011,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.4
2012,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.0
2013,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.1
2014,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,3.6
2015,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,4.1
2016,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,4.1
2017,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,4.0
2018,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,4.0
