Year,Serie,Value
2010,Tasa de crecimiento anual del PIB real per cápita,-0.65
2011,Tasa de crecimiento anual del PIB real per cápita,-2.66
2012,Tasa de crecimiento anual del PIB real per cápita,-2.44
2013,Tasa de crecimiento anual del PIB real per cápita,-2.74
2014,Tasa de crecimiento anual del PIB real per cápita,1.79
2015,Tasa de crecimiento anual del PIB real per cápita,2.82
2016,Tasa de crecimiento anual del PIB real per cápita,3.03
2017,Tasa de crecimiento anual del PIB real per cápita,2.84
2018,Tasa de crecimiento anual del PIB real per cápita,2.83
2019,Tasa de crecimiento anual del PIB real per cápita,1.37
