Year,Serie,Value
2010,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,2.6
2011,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,2.3
2012,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,2.7
2013,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,2.1
2014,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,1.5
2015,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,1.2
2016,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,1.2
2017,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,1.3
2018,Proporción de la superficie agrícola en que se practica una agricultura productiva y sostenible,1.3
