Year,Serie,Value
2010,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,22.0
2011,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,21.5
2012,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,24.7
2013,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,22.5
2014,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,23.7
2015,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,23.8
2016,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,23.5
2017,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,23.8
2018,Total de ingresos de las Administraciones Públicas Autonómicas y Locales en proporción al PIB,23.9
