Year,Serie,Región,Value
2010,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,5.02
2011,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,4.53
2012,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,4.09
2013,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,3.88
2014,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,4.03
2015,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,4.05
2016,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,4.07
2017,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,4.18
2018,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,4.06
2019,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,3.91
2020,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,3.09
2021,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,3.38
2022,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,3.8
2023,Tasa de mortalidad por lesiones debidas a accidentes de tráfico,España,
