Year,Serie,RefArea,Value
2010,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,42.22
2011,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,43.14
2012,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,43.38
2015,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,44.52
2016,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,45.08
2017,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,45.43
2018,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,45.43
2019,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,46.19
2020,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,46.34
2021,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,47.18
2022,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,47.46
2023,Proporción de escaños ocupados por mujeres en los parlamentos autonómicos,España,47.01
2011,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,34.13
2013,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,34.16
2015,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,44.38
2016,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,43.18
2018,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,43.17
2019,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,47.24
2020,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,45.08
2021,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,47.67
2022,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,48.7
2023,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,45.79
2023,Proporción de consejerías ocupadas por mujeres en los gobiernos autonómicos,España,45.79
2011,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,16.77
2013,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,17.17
2014,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,17.42
2015,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,19.09
2019,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,21.71
2021,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,22.04
2022,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,22.26
2023,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,24.46
2023,Proporción de alcaldías ocupadas por mujeres en los gobiernos locales,España,24.46
2011,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,34.95
2013,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,35.17
2014,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,35.24
2015,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,35.57
2019,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,40.82
2021,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,40.85
2022,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,40.87
2023,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,42.82
2023,Proporción de concejalías ocupadas por mujeres en los gobiernos locales,España,42.82
