Year,Serie,RefArea,Value
2010,Tasa de crecimiento anual del PIB real por persona empleada,España,
2011,Tasa de crecimiento anual del PIB real por persona empleada,España,1.77
2012,Tasa de crecimiento anual del PIB real por persona empleada,España,1.1
2013,Tasa de crecimiento anual del PIB real por persona empleada,España,1.06
2014,Tasa de crecimiento anual del PIB real por persona empleada,España,0.35
2015,Tasa de crecimiento anual del PIB real por persona empleada,España,1.01
2016,Tasa de crecimiento anual del PIB real por persona empleada,España,0.88
2017,Tasa de crecimiento anual del PIB real por persona empleada,España,0.34
2018,Tasa de crecimiento anual del PIB real por persona empleada,España,0.08
2019,Tasa de crecimiento anual del PIB real por persona empleada,España,-0.64
2020,Tasa de crecimiento anual del PIB real por persona empleada,España,-7.29
2021,Tasa de crecimiento anual del PIB real por persona empleada,España,4.03
2022,Tasa de crecimiento anual del PIB real por persona empleada,España,3.01
2023,Tasa de crecimiento anual del PIB real por persona empleada,España,-0.66
2010,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,3.8
2011,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,0.26
2012,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,2.23
2013,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,-1.31
2014,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,1.77
2015,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,0.98
2016,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,0.8
2017,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,0.85
2018,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,0.13
2019,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,-0.77
2020,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,-5.84
2021,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,4.68
2022,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,2.85
2023,Tasa de crecimiento anual del PIB real por persona empleada,Cantabria,-0.16
2010,Tasa de crecimiento anual del PIB real por hora trabajada,España,
2011,Tasa de crecimiento anual del PIB real por hora trabajada,España,1.48
2012,Tasa de crecimiento anual del PIB real por hora trabajada,España,1.93
2013,Tasa de crecimiento anual del PIB real por hora trabajada,España,1.48
2014,Tasa de crecimiento anual del PIB real por hora trabajada,España,0.31
2015,Tasa de crecimiento anual del PIB real por hora trabajada,España,0.79
2016,Tasa de crecimiento anual del PIB real por hora trabajada,España,0.46
2017,Tasa de crecimiento anual del PIB real por hora trabajada,España,0.87
2018,Tasa de crecimiento anual del PIB real por hora trabajada,España,-0.23
2019,Tasa de crecimiento anual del PIB real por hora trabajada,España,0.55
2020,Tasa de crecimiento anual del PIB real por hora trabajada,España,-0.18
2021,Tasa de crecimiento anual del PIB real por hora trabajada,España,-0.76
2022,Tasa de crecimiento anual del PIB real por hora trabajada,España,1.81
2023,Tasa de crecimiento anual del PIB real por hora trabajada,España,0.55
2010,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,4.95
2011,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,-0.11
2012,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,1.97
2013,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,-0.56
2014,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,1.75
2015,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,1.18
2016,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,0.13
2017,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,2.73
2018,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,0.48
2019,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,0.12
2020,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,0.65
2021,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,-0.74
2022,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,2.0
2023,Tasa de crecimiento anual del PIB real por hora trabajada,Cantabria,0.88
