Year,Serie,RefArea,Value
2010,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,17.81
2011,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,18.25
2012,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,18.6
2013,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,18.63
2014,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,17.14
2015,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,15.64
2016,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,14.61
2017,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,13.32
2018,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,12.45
2019,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,12.13
2020,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,13.88
2021,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,11.0
2022,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,10.47
2023,"Proporción de jóvenes entre 15 y 24 años que no cursan estudios, no están empleados ni reciben formación",España,9.9
